Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
25,1,F,125, Low,56,3
26,2,M,40, High,1430,0
26,2,M,40, Low,635,0
26,2,M,80, High,260,0
26,2,M,80, Low,112,0
26,2,M,125, High,50,0
26,2,M,125, Low,21,0
26,2,F,40, High,1410,0
26,2,F,40, Low,652,0
26,2,F,80, High,247,0
26,2,F,80, Low,96,0
26,2,F,125, High,52,0
26,2,F,125, Low,35,0
26,1,M,40, High,408,45
26,1,M,40, Low,1617,106
26,1,M,80, High,80,9
26,1,M,80, Low,303,28
26,1,M,125, High,22,1
26,1,M,125, Low,52,4
26,1,F,40, High,408,35
26,1,F,40, Low,1651,98
26,1,F,80, High,82,9
26,1,F,80, Low,300,18
26,1,F,125, High,21,0
26,1,F,125, Low,56,2
27,2,M,40, High,1430,0
27,2,M,40, Low,635,0
27,2,M,80, High,260,0
27,2,M,80, Low,112,0
27,2,M,125, High,50,0
27,2,M,125, Low,21,0
27,2,F,40, High,1410,0
27,2,F,40, Low,652,0
27,2,F,80, High,247,0
27,2,F,80, Low,96,0
27,2,F,125, High,52,0
27,2,F,125, Low,35,0
27,1,M,40, High,408,35
27,1,M,40, Low,1617,100
27,1,M,80, High,80,8
27,1,M,80, Low,303,27
27,1,M,125, High,22,1
27,1,M,125, Low,52,6
27,1,F,40, High,408,22
27,1,F,40, Low,1651,107
27,1,F,80, High,82,5
27,1,F,80, Low,300,14
27,1,F,125, High,21,0
27,1,F,125, Low,56,4
28,2,M,40, High,1430,0
28,2,M,40, Low,635,0
28,2,M,80, High,260,0
28,2,M,80, Low,112,0
28,2,M,125, High,50,0
28,2,M,125, Low,21,0
28,2,F,40, High,1410,0
28,2,F,40, Low,652,0
28,2,F,80, High,247,0
28,2,F,80, Low,96,0
28,2,F,125, High,52,0
28,2,F,125, Low,35,0
28,1,M,40, High,408,28
28,1,M,40, Low,1617,95
28,1,M,80, High,80,7
28,1,M,80, Low,303,20
28,1,M,125, High,22,1
28,1,M,125, Low,52,7
28,1,F,40, High,408,13
28,1,F,40, Low,1651,99
28,1,F,80, High,82,3
28,1,F,80, Low,300,15
28,1,F,125, High,21,0
28,1,F,125, Low,56,5
29,2,M,40, High,1430,0
29,2,M,40, Low,635,0
29,2,M,80, High,260,0
29,2,M,80, Low,112,0
29,2,M,125, High,50,0
29,2,M,125, Low,21,0
29,2,F,40, High,1410,0
29,2,F,40, Low,652,0
