Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
22,4,1000,532,0,0,532,1019,0,143694,36400,18200,170,0,0,0,0,0,57,15,0,17544.5,0.427505,0,0,0,532,0,0,0,170,0,0,0,0,0,0,0,0,0,0
23,1,999,423,0,0,423,919,2180,145334,32400,16200,154,0,0,0,0,0,39,10,0,20017,0.61565,0,0,0,423,0,0,0,154,0,0,0,0,0,0,0,0,0,0
23,2,1000,365,0,0,365,896,2151,145269,28600,14300,133,0,0,0,0,0,48,11,0,20082,0.624297,0,0,0,365,0,0,0,133,0,0,0,0,0,0,0,0,0,0
23,3,1001,422,0,0,422,935,2138,145457,29000,14500,141,0,0,0,0,0,50,12,0,19894,0.494398,0,0,0,422,0,0,0,141,0,0,0,0,0,0,0,0,0,0
23,4,1000,463,0,0,463,916,2183,145545,35000,17500,168,0,0,0,0,0,54,15,0,19806,0.48199,0,0,0,463,0,0,0,168,0,0,0,0,0,0,0,0,0,0
24,1,999,366,0,0,366,864,3029,150624,27600,13800,130,0,0,0,0,0,43,13,0,18691.3,0.617808,0,0,0,366,0,0,0,130,0,0,0,0,0,0,0,0,0,0
24,2,1000,321,0,0,321,808,2968,150405,23800,11900,115,0,0,0,0,0,34,10,0,18910.3,0.702167,0,0,0,321,0,0,0,115,0,0,0,0,0,0,0,0,0,0
24,3,1001,375,0,0,375,857,2887,150543,26400,13200,125,0,0,0,0,0,38,10,0,18772.3,0.685999,0,0,0,375,0,0,0,125,0,0,0,0,0,0,0,0,0,0
24,4,1000,402,0,0,402,837,3062,150434,27600,13800,129,0,0,0,0,0,45,16,0,18881.3,0.565885,0,0,0,402,0,0,0,129,0,0,0,0,0,0,0,0,0,0
25,1,998,331,0,0,331,783,3892,153988,19400,9700,89,0,0,0,0,0,27,8,0,19148.8,0.677221,0,0,0,331,0,0,0,89,0,0,0,0,0,0,0,0,0,0
25,2,999,273,0,0,273,737,3898,153883,16200,8100,75,0,0,0,0,0,38,10,0,19253.8,0.79455,0,0,0,273,0,0,0,75,0,0,0,0,0,0,0,0,0,0
25,3,1001,334,0,0,334,782,3858,153800,23600,11800,112,0,0,0,0,0,36,5,0,19336.8,0.711072,0,0,0,334,0,0,0,112,0,0,0,0,0,0,0,0,0,0
25,4,1002,352,0,0,352,760,4044,153613,24000,12000,114,0,0,0,0,0,40,10,0,19523.8,0.684105,0,0,0,352,0,0,0,114,0,0,0,0,0,0,0,0,0,0
26,1,998,287,0,0,287,714,4836,157257,22800,11400,106,0,0,0,0,0,31,13,0,19563.6,0.987051,0,0,0,287,0,0,0,106,0,0,0,0,0,0,0,0,0,0
26,2,998,237,0,0,237,672,4763,154323,19800,9900,91,0,0,0,0,0,26,10,0,22497.6,1,0,0,0,237,0,0,0,91,0,0,0,0,0,0,0,0,0,0
26,3,1002,291,0,0,291,717,4781,157433,19200,9600,93,0,0,0,0,0,34,9,0,19387.6,0.819355,0,0,0,291,0,0,0,93,0,0,0,0,0,0,0,0,0,0
26,4,1002,309,0,0,309,693,4921,157140,23600,11800,114,0,0,0,0,0,35,8,0,19680.6,0.813491,0,0,0,309,0,0,0,114,0,0,0,0,0,0,0,0,0,0
27,1,998,981,0,0,981,1345,4250,160683,18000,9000,87,0,0,0,744,0,36,14,0,19688.6,0.858051,0,0,0,981,0,0,0,87,0,0,0,0,0,0,0,0,0,0
27,2,998,941,0,0,941,1289,4192,158035,14200,7100,69,0,0,0,740,0,28,8,0,22336.6,1,0,0,0,941,0,0,0,69,0,0,0,0,0,0,0,0,0,0
27,3,1002,959,0,0,959,1375,4228,160127,19000,9500,89,0,0,0,713,0,32,13,0,20244.6,1,0,0,0,959,0,0,0,89,0,0,0,0,0,0,0,0,0,0
27,4,1002,988,0,0,988,1393,4237,160723,19200,9600,90,0,0,0,723,0,35,9,0,19648.6,0.833922,0,0,0,988,0,0,0,90,0,0,0,0,0,0,0,0,0,0
28,1,999,1160,0,0,1160,1575,4569,161831,13400,6700,710,0,0,0,336,0,83,73,0,21963.7,1,0,0,0,1160,0,0,0,710,0,0,0,0,0,0,0,0,0,0
28,2,1000,1124,0,0,1124,1504,4464,155869,10200,5100,666,0,0,0,332,0,96,54,0,27925.7,1,0,0,0,1124,0,0,0,666,0,0,0,0,0,0,0,0,0,0
28,3,1000,1148,0,0,1148,1565,4536,162431,15600,7800,698,0,0,0,350,0,86,75,0,21363.7,1,0,0,0,1148,0,0,0,698,0,0,0,0,0,0,0,0,0,0
28,4,1001,1169,0,0,1169,1618,4482,163404,15400,7700,707,0,0,0,333,0,79,73,0,20390.7,1,0,0,0,1169,0,0,0,707,0,0,0,0,0,0,0,0,0,0
29,1,999,1395,0,0,1395,1818,4772,158321,15000,7500,368,0,0,0,375,0,104,36,0,28773.5,1,0,0,0,1395,0,0,0,368,0,0,0,0,0,0,0,0,0,0
