Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PostDebut,13595,8212.48,F,0
2000.33,1,PostDebut,527,17764.5,M,0
2000.33,1,PostDebut,10091,14387.1,M,0
2000.33,1,PostDebut,12009,10980.4,F,0
2000.33,1,PostDebut,14572,6600.41,M,0
2000.33,1,PostDebut,531,17118.4,M,0
2000.33,1,PostDebut,14735,6326.66,M,0
2000.33,1,PreDebut,16670,3041.67,F,0
2000.33,1,PostDebut,10990,12744.6,F,0
2000.33,1,PostDebut,14104,7330.4,F,0
2000.33,1,PostDebut,13220,8881.66,M,0
2000.33,1,PostDebut,12171,10706.7,M,0
2000.33,1,PreDebut,17202,2129.17,F,0
2000.33,1,PostDebut,539,16555,F,0
2000.33,1,PostDebut,12652,9885.42,F,0
2000.33,1,PostDebut,12505,10128.8,M,0
2000.33,1,PreDebut,15695,4653.75,M,0
2000.33,1,PostDebut,543,17633.9,F,0
2000.33,1,PostDebut,10471,13657.1,M,0
2000.33,1,PostDebut,10470,13657.1,M,0
2000.33,1,PostDebut,14972,5900.83,F,0
2000.33,1,PostDebut,547,18945.6,M,0
2000.33,1,PostDebut,10234,14113.4,F,0
2000.33,1,PostDebut,11412,12014.6,M,0
2000.33,1,PostDebut,12651,9885.42,F,0
2000.33,1,PostDebut,14777,6265.83,F,0
2000.33,1,PostDebut,552,19381.8,M,0
2000.33,1,PostDebut,553,19140.1,F,0
2000.33,1,PostDebut,10282,14022.1,M,0
2000.33,1,PostDebut,555,14788,F,0
2000.33,1,PostDebut,14989,5870.41,F,0
2000.33,1,PostDebut,557,16667.9,M,0
2000.33,1,PostDebut,11357,12105.9,M,0
2000.33,1,PostDebut,12910,9459.58,M,0
2000.33,1,PreDebut,17729,1216.67,M,0
2000.33,1,PostDebut,13263,8790.41,M,0
2000.33,1,PostDebut,562,16381,M,0
