Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
121,2,98,70119,65134,0,4985,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,99,29881,1064,178,28639,100000,0,301,0,0,0,0,0,3,0,0,0,0,0,0,0
122,2,98,70406,65153,0,5253,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,99,29594,920,125,28549,100000,0,298,0,0,0,0,0,3,0,0,0,0,0,0,0
123,2,98,70727,65171,0,5556,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,99,29273,784,118,28371,100000,0,295,0,0,0,0,0,3,0,0,0,0,0,0,0
124,2,98,71016,65184,0,5832,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,99,28984,678,93,28213,100000,0,292,0,0,0,0,0,3,0,0,0,0,0,0,0
125,2,98,71319,65188,0,6131,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,99,28681,568,106,28007,100000,0,289,0,0,0,0,0,3,0,0,0,0,0,0,0
126,2,98,71618,65191,0,6427,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,99,28382,472,93,27817,100000,0,286,0,0,0,0,0,3,0,0,0,0,0,0,0
127,2,98,71907,65199,0,6708,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,99,28093,392,72,27629,100000,0,283,0,0,0,0,0,3,0,0,0,0,0,0,0
128,2,98,72204,65204,0,7000,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0
