Time, NodeID, AgeYears, NumIndividuals, NumInfected, NodeProp=Accessibility
91,7,125,10,0,YES
91,6,125,10,0,YES
91,5,125,10,0,YES
91,4,125,10,0,YES
91,3,125,10,1,YES
91,2,125,10,0,YES
91,1,125,10,0,YES
92,10,125,10,0,YES
92,9,125,10,0,YES
92,8,125,10,2,YES
92,7,125,10,0,YES
92,6,125,10,0,YES
92,5,125,10,0,YES
92,4,125,10,0,YES
92,3,125,10,1,YES
92,2,125,10,0,YES
92,1,125,10,0,YES
93,10,125,10,0,YES
93,9,125,10,0,YES
93,8,125,10,2,YES
93,7,125,10,0,YES
93,6,125,10,0,YES
93,5,125,10,0,YES
93,4,125,10,0,YES
93,3,125,10,1,YES
93,2,125,10,0,YES
93,1,125,10,0,YES
94,10,125,10,0,YES
94,9,125,10,0,YES
94,8,125,10,2,YES
94,7,125,10,0,YES
94,6,125,10,0,YES
94,5,125,10,0,YES
94,4,125,10,0,YES
94,3,125,10,1,YES
94,2,125,10,0,YES
94,1,125,10,0,YES
95,10,125,10,0,YES
95,9,125,10,0,YES
95,8,125,10,2,YES
95,7,125,10,0,YES
95,6,125,10,0,YES
95,5,125,10,0,YES
95,4,125,10,0,YES
95,3,125,10,1,YES
95,2,125,10,0,YES
95,1,125,10,0,YES
96,10,125,10,0,YES
96,9,125,10,0,YES
96,8,125,10,2,YES
96,7,125,10,0,YES
96,6,125,10,0,YES
96,5,125,10,0,YES
96,4,125,10,0,YES
96,3,125,10,1,YES
96,2,125,10,0,YES
96,1,125,10,0,YES
97,10,125,10,0,YES
97,9,125,10,0,YES
97,8,125,10,2,YES
97,7,125,10,0,YES
97,6,125,10,0,YES
97,5,125,10,0,YES
97,4,125,10,0,YES
97,3,125,10,1,YES
97,2,125,10,0,YES
97,1,125,10,0,YES
98,10,125,10,0,YES
98,9,125,10,0,YES
98,8,125,10,2,YES
98,7,125,10,0,YES
98,6,125,10,0,YES
98,5,125,10,0,YES
98,4,125,10,0,YES
98,3,125,10,1,YES
98,2,125,10,0,YES
98,1,125,10,0,YES
99,10,125,10,0,YES
99,9,125,10,0,YES
99,8,125,10,2,YES
99,7,125,10,0,YES
99,6,125,10,0,YES
99,5,125,10,0,YES
99,4,125,10,0,YES
99,3,125,10,1,YES
99,2,125,10,0,YES
99,1,125,10,0,YES
100,10,125,10,0,YES
100,9,125,10,0,YES
100,8,125,10,2,YES
100,7,125,10,0,YES
100,6,125,10,0,YES
100,5,125,10,0,YES
100,4,125,10,0,YES
100,3,125,10,1,YES
100,2,125,10,0,YES
100,1,125,10,0,YES
101,10,125,10,0,YES
101,9,125,10,0,YES
101,8,125,10,2,YES
101,7,125,10,0,YES
101,6,125,10,0,YES
101,5,125,10,0,YES
101,4,125,10,0,YES
101,3,125,10,1,YES
101,2,125,10,0,YES
101,1,125,10,0,YES
102,10,125,10,0,YES
102,9,125,10,0,YES
102,8,125,10,2,YES
102,7,125,10,0,YES
102,6,125,10,0,YES
102,5,125,10,0,YES
102,4,125,10,0,YES
102,3,125,10,0,YES
102,2,125,10,0,YES
102,1,125,10,0,YES
103,10,125,10,0,YES
103,9,125,10,0,YES
103,8,125,10,2,YES
103,7,125,10,0,YES
103,6,125,10,0,YES
103,5,125,10,0,YES
103,4,125,10,0,YES
103,3,125,10,0,YES
103,2,125,10,0,YES
103,1,125,10,0,YES
104,10,125,10,0,YES
104,9,125,10,0,YES
104,8,125,10,2,YES
104,7,125,10,0,YES
104,6,125,10,0,YES
104,5,125,10,0,YES
104,4,125,10,0,YES
104,3,125,10,0,YES
104,2,125,10,0,YES
104,1,125,10,0,YES
105,10,125,10,0,YES
105,9,125,10,0,YES
105,8,125,10,2,YES
105,7,125,10,0,YES
105,6,125,10,0,YES
105,5,125,10,0,YES
105,4,125,10,0,YES
105,3,125,10,0,YES
