Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
75,1,F,125,85,3
76,2,M,40,77,0
76,2,M,80,85,6
76,2,M,125,83,3
76,2,F,40,65,3
76,2,F,80,76,5
76,2,F,125,88,8
76,1,M,40,97,9
76,1,M,80,86,6
76,1,M,125,82,8
76,1,F,40,90,5
76,1,F,80,81,3
76,1,F,125,90,2
77,2,M,40,78,1
77,2,M,80,89,7
77,2,M,125,79,4
77,2,F,40,67,1
77,2,F,80,76,6
77,2,F,125,87,5
77,1,M,40,96,8
77,1,M,80,82,5
77,1,M,125,86,6
77,1,F,40,88,6
77,1,F,80,81,1
77,1,F,125,91,5
78,2,M,40,78,1
78,2,M,80,95,7
78,2,M,125,83,4
78,2,F,40,66,2
78,2,F,80,72,6
78,2,F,125,85,5
78,1,M,40,96,8
78,1,M,80,76,5
78,1,M,125,82,5
78,1,F,40,89,6
78,1,F,80,85,0
78,1,F,125,93,4
79,2,M,40,82,1
79,2,M,80,102,9
79,2,M,125,84,3
79,2,F,40,69,3
79,2,F,80,74,5
79,2,F,125,84,5
79,1,M,40,92,5
79,1,M,80,69,3
79,1,M,125,81,4
79,1,F,40,86,6
79,1,F,80,83,2
79,1,F,125,94,4
80,2,M,40,78,1
80,2,M,80,98,8
80,2,M,125,85,3
80,2,F,40,74,4
80,2,F,80,74,3
80,2,F,125,95,6
80,1,M,40,96,6
80,1,M,80,73,3
80,1,M,125,80,4
80,1,F,40,81,5
80,1,F,80,83,2
80,1,F,125,83,4
81,2,M,40,79,0
81,2,M,80,93,8
81,2,M,125,85,3
81,2,F,40,72,4
81,2,F,80,80,3
81,2,F,125,88,5
81,1,M,40,95,6
81,1,M,80,78,2
81,1,M,125,80,3
81,1,F,40,83,3
81,1,F,80,77,2
81,1,F,125,90,4
82,2,M,40,77,1
82,2,M,80,87,6
82,2,M,125,86,3
82,2,F,40,74,3
82,2,F,80,77,4
82,2,F,125,91,4
82,1,M,40,97,4
82,1,M,80,84,3
82,1,M,125,79,3
82,1,F,40,81,4
82,1,F,80,80,1
82,1,F,125,87,4
83,2,M,40,80,1
83,2,M,80,77,4
83,2,M,125,85,3
83,2,F,40,81,2
83,2,F,80,71,4
83,2,F,125,95,4
83,1,M,40,94,3
83,1,M,80,93,5
83,1,M,125,81,3
83,1,F,40,74,2
83,1,F,80,86,1
83,1,F,125,83,4
84,2,M,40,75,1
84,2,M,80,81,3
84,2,M,125,88,1
84,2,F,40,79,1
84,2,F,80,68,5
84,2,F,125,93,4
84,1,M,40,99,3
84,1,M,80,89,4
84,1,M,125,78,2
84,1,F,40,76,2
84,1,F,80,89,1
84,1,F,125,85,5
85,2,M,40,78,1
85,2,M,80,92,4
85,2,M,125,98,1
85,2,F,40,75,1
85,2,F,80,72,5
85,2,F,125,92,5
85,1,M,40,96,2
85,1,M,80,78,3
85,1,M,125,68,2
85,1,F,40,80,2
85,1,F,80,85,1
85,1,F,125,86,4
86,2,M,40,72,1
86,2,M,80,95,3
86,2,M,125,100,1
86,2,F,40,80,1
86,2,F,80,73,5
86,2,F,125,89,6
86,1,M,40,102,2
86,1,M,80,75,4
86,1,M,125,66,2
86,1,F,40,75,2
86,1,F,80,84,2
86,1,F,125,89,2
87,2,M,40,72,1
87,2,M,80,93,2
87,2,M,125,98,2
87,2,F,40,77,1
87,2,F,80,77,5
87,2,F,125,85,5
87,1,M,40,102,2
87,1,M,80,77,4
87,1,M,125,68,2
87,1,F,40,78,1
87,1,F,80,80,1
87,1,F,125,93,3
88,2,M,40,72,0
88,2,M,80,96,2
88,2,M,125,94,2
88,2,F,40,72,1
88,2,F,80,78,3
88,2,F,125,82,4
88,1,M,40,102,0
88,1,M,80,74,3
88,1,M,125,72,2
88,1,F,40,83,1
88,1,F,80,79,2
88,1,F,125,96,4
89,2,M,40,77,0
89,2,M,80,93,2
89,2,M,125,96,3
89,2,F,40,68,1
89,2,F,80,80,4
89,2,F,125,77,5
89,1,M,40,97,1
89,1,M,80,77,2
89,1,M,125,70,1
89,1,F,40,87,1
89,1,F,80,77,2
89,1,F,125,101,2
90,2,M,40,71,0
90,2,M,80,87,2
90,2,M,125,93,1
90,2,F,40,74,0
90,2,F,80,81,4
90,2,F,125,78,6
90,1,M,40,103,1
90,1,M,80,83,2
90,1,M,125,73,2
90,1,F,40,81,1
90,1,F,80,76,2
90,1,F,125,100,2
91,2,M,40,78,0
91,2,M,80,89,2
91,2,M,125,94,1
91,2,F,40,78,0
91,2,F,80,78,3
91,2,F,125,81,6
91,1,M,40,96,1
91,1,M,80,81,2
91,1,M,125,72,1
91,1,F,40,77,1
91,1,F,80,79,3
91,1,F,125,97,2
92,2,M,40,79,1
92,2,M,80,90,3
92,2,M,125,93,1
92,2,F,40,83,0
92,2,F,80,81,3
92,2,F,125,80,3
92,1,M,40,95,1
92,1,M,80,80,1
