Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
4,14,0,51,0,0,51,53,0,5781,600,300,0,0,0,0,0,0,12,0,0,2698.66,192.899,180.407,1,1,0.443169,0,0,0
4,12,16,56,0,0,56,52,0,6366,4400,2200,17,0,3,0,0,0,11,0,0,2225.66,91.8989,169.407,1,0.144291,0.149267,0,0,0
4,10,10,26,0,0,26,35,0,3146,3000,1500,13,0,2,0,0,0,6,0,0,1153.33,40.4494,86.7033,1,0.278937,0.207834,0,0,0
4,8,10,62,0,0,62,55,0,6663,4400,2200,17,0,6,0,0,0,5,0,0,1923.66,107.899,158.407,1,0.106968,0.108917,0,0,0
4,6,11,76,0,0,76,65,0,6955,4200,2100,19,0,3,0,0,0,11,0,0,1621.66,88.8989,187.407,0.590541,0.0895746,0.0662567,0,0,0
4,4,7,23,0,0,23,26,0,3214,1600,800,7,0,1,0,0,0,6,0,0,1056.33,56.4494,99.7033,1,0.0647342,0.195334,0,0,0
4,2,0,30,0,0,30,42,0,4414,1800,900,0,0,0,0,0,0,3,0,0,4177.66,78.8989,182.407,1,0.0896455,0.148556,0,0,0
5,25,1,51,0,0,51,48,0,7160,3200,1600,11,0,2,0,0,0,7,0,0,2670.99,105.51,184.11,1,0.0516105,0.195407,0,0,0
5,23,14,93,0,0,93,100,0,15549,6200,3100,23,0,6,0,0,0,5,0,0,33637,498.549,918.551,1,0.21477,0.329297,0,0,0
5,21,0,202,0,0,202,180,0,21378,1400,700,0,0,0,0,0,0,35,0,0,72389.9,2515.1,4923.1,1,1,1,0,0,0
5,19,10,46,0,0,46,41,0,6241,3600,1800,12,0,4,0,0,0,4,0,0,3602.99,97.5099,179.11,1,0.0611868,0.174407,0,0,0
5,17,4,117,0,0,117,99,0,18279,8400,4200,33,0,8,0,0,0,15,0,0,30898,492.549,933.551,1,0.241247,0.258539,0,0,0
5,15,5,53,0,0,53,46,0,6150,5000,2500,24,0,1,0,0,0,10,0,0,3697.99,110.51,162.11,1,0.0770706,0.115254,0,0,0
5,13,10,52,0,0,52,46,0,7122,4400,2200,18,0,3,0,0,0,7,0,0,2705.99,101.51,191.11,1,0.262247,0.120254,0,0,0
5,11,11,104,0,0,104,95,0,18693,5800,2900,20,0,9,0,0,0,19,0,0,30488,510.549,911.551,1,0.154819,0.271885,0,0,0
5,9,0,36,0,0,36,50,0,6796,2800,1400,0,0,0,0,0,0,13,0,0,3027.99,106.51,190.11,1,0.103899,0.201758,0,0,0
5,7,0,61,0,0,61,70,0,5448,1200,600,0,0,0,0,0,0,15,0,0,4386.99,106.51,179.11,1,0.138165,0.134505,0,0,0
5,5,14,25,0,0,25,23,0,3200,2000,1000,9,0,0,0,0,0,3,0,0,1732,42.7549,85.5551,1,0.0840824,0.110879,0,0,0
5,3,1,44,0,0,44,59,0,7177,3000,1500,22,0,2,0,0,0,16,0,0,2659.99,106.51,177.11,1,0.549495,0.0991148,0,0,0
5,1,5,33,0,0,33,31,0,5994,2200,1100,9,0,2,0,0,0,4,0,0,3826.99,103.51,196.11,1,0.131124,0.169407,0,0,0
5,26,20,499,0,0,499,494,0,51355,4600,2300,18,0,4,0,0,0,76,0,0,137648,4450.2,8959.2,1,1,1,0,0,0
5,24,10,52,0,0,52,50,0,7882,4800,2400,19,0,3,0,0,0,4,0,0,1958.99,105.51,174.11,1,0.0928989,0.153672,0,0,0
5,22,0,187,0,0,187,202,0,23607,800,400,0,0,0,0,0,0,30,0,0,70943.9,2428.1,4227.1,1,1,1,0,0,0
5,20,10,51,0,0,51,38,0,7771,3200,1600,14,0,2,0,0,0,10,0,0,2059.99,89.5099,200.11,1,0.0724368,0.213008,0,0,0
5,18,10,54,0,0,54,42,0,7621,4400,2200,18,0,4,0,0,0,10,0,0,2238.99,100.51,160.11,1,0.0692135,0.101337,0,0,0
5,16,0,185,0,0,185,200,0,23105,2400,1200,0,0,0,0,0,0,27,0,0,71400.9,2552.1,4148.1,1,1,1,0,0,0
5,14,0,44,0,0,44,47,0,5620,400,200,0,0,0,0,0,0,7,0,0,4208.99,102.51,189.11,1,0.482247,0.902033,0,0,0
5,12,16,52,0,0,52,47,0,7221,4200,2100,18,0,3,0,0,0,4,0,0,2620.99,100.51,178.11,1,0.0510549,0.121005,0,0,0
5,10,10,23,0,0,23,34,0,3583,1000,500,3,0,2,0,0,0,3,0,0,1360,56.7549,60.5551,1,0.0674157,0.0481685,0,0,0
