Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
4,1,9,52,0,0,52,61,0,6617,2400,1200,16,0,0,0,0,0,8,0,0,7,6,1957.66,93.8989,184.407,1,0.113218,0.190267,0,0,0
5,26,20,525,0,0,525,490,0,54983,4800,2400,18,0,5,0,0,0,71,0,0,0,0,135790,4467.2,7172.2,1,1,1,0,0,0
5,25,2,72,0,0,72,45,0,6660,6000,3000,24,0,7,0,0,0,10,0,0,8,9,3167.99,114.51,178.11,1,0.0792135,0.104115,0,0,0
5,24,21,47,0,0,47,54,0,6109,4000,2000,17,0,3,0,0,0,7,0,0,11,9,3737.99,92.5099,181.11,1,0.174831,0.157005,0,0,0
5,23,30,59,0,0,59,103,0,16826,4200,2100,19,0,5,0,0,0,15,0,0,8,6,32355,498.549,923.551,1,0.303434,0.471129,0,0,0
5,22,0,111,0,0,111,196,0,23807,4000,2000,0,0,0,0,0,0,13,0,0,13,12,72801.9,1668.1,2929.1,1,1,1,0,0,0
5,21,0,110,0,0,110,191,0,26583,2600,1300,0,0,0,0,0,0,16,0,0,9,13,70657.9,1277.1,2688.1,1,1,1,0,0,0
5,20,20,64,0,0,64,48,0,7784,2800,1400,18,0,1,0,0,0,16,0,0,6,7,2064.99,113.51,158.11,1,0.0965824,0.0809256,0,0,0
5,19,20,62,0,0,62,54,0,7324,3800,1900,17,0,8,0,0,0,12,0,0,12,9,2528.99,82.5099,185.11,1,0.0642135,0.112754,0,0,0
5,18,21,71,0,0,71,47,0,7230,3000,1500,21,0,1,0,0,0,8,0,0,15,11,2550.99,117.51,222.11,1,0.0857491,0.0508965,0,0,0
5,17,10,90,0,0,90,103,0,16361,4400,2200,28,0,7,0,0,0,12,0,0,27,10,32775,541.549,925.551,1,0.212952,0.395015,0,0,0
5,16,0,99,0,0,99,211,0,24313,2400,1200,0,0,0,0,0,0,5,0,0,21,18,71667.9,999.099,4226.1,1,0.797135,1,0,0,0
5,15,10,58,0,0,58,54,0,5936,2400,1200,13,0,0,0,0,0,12,0,0,12,7,3908.99,102.51,173.11,1,0.0469494,0.113379,0,0,0
5,14,0,55,0,0,55,50,0,5755,3400,1700,0,0,0,0,0,0,6,0,0,20,5,4079.99,108.51,177.11,1,0.0561868,0.123862,0,0,0
5,13,20,52,0,0,52,55,0,7795,1400,700,9,0,3,0,0,0,5,0,0,18,4,2069.99,68.5099,187.11,1,0.0815824,0.113862,0,0,0
5,12,29,55,0,0,55,44,0,6737,4200,2100,20,0,2,0,0,0,10,0,0,16,10,3082.99,97.5099,203.11,1,0.0908989,0.0810939,0,0,0
5,11,20,72,0,0,72,90,0,15123,4000,2000,23,0,5,0,0,0,7,0,0,12,13,34064,479.549,936.551,1,0.347496,0.33732,0,0,0
5,10,19,56,0,0,56,27,0,3876,3000,1500,14,0,2,0,0,0,11,0,0,7,7,1032,57.7549,94.5551,1,0.0345412,0.134505,0,0,0
