Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
48,340461476,carbamate_resistant,1000,22118,311,802,21005,28699,30187,183902,991800,495900,3601,36,3721,21,2921,0,2032,351,395,0,0,26600.2,0.0247834
48,340461476,organochlorines_resistant,1000,21830,336,840,20654,28659,30375,183584,975880,487940,3565,34,3537,26,2963,0,2081,384,360,0,0,26918.2,0.0247855
49,340461476,pyrethroid_resistant,1000,21865,320,772,20773,28613,30482,184229,991520,495760,3647,24,3558,29,2926,0,2145,370,349,0,0,26320.7,0.0267106
49,340461476,carbamate_resistant,1000,22235,328,825,21082,28891,30161,184265,1013320,506660,3684,29,3705,25,2917,0,2072,336,392,0,0,26284.7,0.0268201
49,340461476,organochlorines_resistant,1000,21906,344,831,20731,28794,30259,184460,995960,497980,3695,37,3653,35,2908,0,2080,372,380,0,0,26089.7,0.0275835
50,340461476,pyrethroid_resistant,1000,21866,328,789,20749,28756,30663,184315,1052880,526440,3694,27,3808,37,2862,0,2156,360,345,0,0,26276.7,0.0265458
50,340461476,carbamate_resistant,1000,22393,333,830,21230,29026,30325,184001,1069320,534660,3889,34,3771,32,2975,0,2086,370,361,0,0,26590.7,0.0259392
50,340461476,organochlorines_resistant,1000,21798,366,811,20621,28902,30598,183864,1063240,531620,3833,39,3819,35,2741,0,2066,395,388,0,0,26727.7,0.0261956
51,340461476,pyrethroid_resistant,1000,21844,321,770,20753,28874,30614,184687,1013240,506620,3592,31,3717,28,2819,0,2082,392,367,0,0,25941.8,0.024957
51,340461476,carbamate_resistant,1000,22349,329,838,21182,29097,30328,184623,1018560,509280,3781,32,3648,31,2878,0,2197,359,366,0,0,26005.8,0.0248669
51,340461476,organochlorines_resistant,1000,21800,353,838,20609,29200,30489,184525,1003120,501560,3577,29,3557,32,2854,0,2126,367,359,0,0,26103.8,0.025138
52,340461476,pyrethroid_resistant,1000,21986,336,757,20893,29272,30443,184435,1005320,502660,3584,19,3659,31,2995,0,2128,340,385,0,0,26226.5,0.0256028
