Time,NodeID,NodePopulation,InterventionName,FractionHas,AvgNumberOfInterventions,AvgEfficacy-Attracting,AvgEfficacy-Repelling,AvgEfficacy-Blocking,AvgEfficacy-Killing,AvgEfficacy-Usage,AvgEfficacy-AcquisitionBlocking,AvgEfficacy-TransmissionBlocking,AvgEfficacy-MortalityBlocking,DrugConcentration
130,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0704303
130,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
131,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0593967
131,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
131,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0615301
131,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
131,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0612499
131,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
131,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0658882
131,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
132,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.055566
132,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
132,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0575618
132,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
132,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0572996
132,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
132,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0616388
132,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
133,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0519823
133,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
133,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0538494
133,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
133,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0536042
133,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
133,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0576635
133,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
134,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0486299
134,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
134,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0503766
134,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
134,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0501472
134,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
134,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0539448
134,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
135,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0454935
135,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
135,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0471275
135,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
135,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0469129
135,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
135,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0504656
135,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
136,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0425595
136,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
136,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0440881
136,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
136,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0438874
136,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
136,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0472109
136,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
