Year,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.0273973,Teen_Is_Pre_Debut,51,3072.67,M,0
0.0273973,Teen_Is_Post_Debut,52,14455.5,F,0
0.0273973,Teen_Is_Post_Debut,53,23084.3,M,0
0.0273973,Teen_Is_Post_Debut,54,8045.77,M,0
0.0273973,Teen_Is_Post_Debut,55,11963.8,M,0
0.0273973,Teen_Is_Pre_Debut,56,4750.05,M,0
0.0273973,Teen_Is_Pre_Debut,57,6058.8,M,0
0.0273973,Teen_Is_Post_Debut,58,13466.9,M,0
0.0273973,Teen_Is_Post_Debut,59,12712.1,F,0
0.0273973,Teen_Is_Pre_Debut,60,2487.53,F,0
0.0273973,Teen_Is_Post_Debut,61,16389.7,F,0
0.0273973,Teen_Is_Post_Debut,62,14625.5,M,0
0.0273973,Teen_Is_Post_Debut,63,14568,F,0
0.0273973,Teen_Is_Post_Debut,64,10538.4,M,0
0.0273973,Teen_Is_Pre_Debut,65,1102.65,F,0
0.0273973,Teen_Is_Post_Debut,66,21177.8,M,0
0.0273973,Teen_Is_Pre_Debut,67,4745.52,F,0
0.0273973,Teen_Is_Pre_Debut,68,1455.1,M,0
0.0273973,Teen_Is_Post_Debut,69,9768.7,F,0
0.0273973,Teen_Is_Post_Debut,70,16794.2,M,0
0.0273973,Teen_Is_Pre_Debut,71,2661.26,M,0
0.0273973,Teen_Is_Post_Debut,72,10490.2,M,0
0.0273973,Teen_Is_Pre_Debut,73,2443.55,F,0
0.0273973,Teen_Is_Post_Debut,74,10337.7,M,0
0.0273973,Teen_Is_Post_Debut,75,24947.6,F,0
0.0273973,Teen_Is_Post_Debut,76,11894,M,0
0.0273973,Teen_Is_Post_Debut,77,23557.7,M,0
0.0273973,Teen_Is_Pre_Debut,78,2340.38,F,0
0.0273973,Teen_Is_Pre_Debut,79,1520.48,F,0
0.0273973,Teen_Is_Post_Debut,80,20454.8,F,0
0.0273973,Teen_Is_Pre_Debut,81,2330.07,F,0
0.0273973,Teen_Is_Post_Debut,82,6828.17,M,0
0.0273973,Teen_Is_Post_Debut,83,6625.81,F,0
0.0273973,Teen_Is_Post_Debut,84,17523.4,M,0
0.0273973,Teen_Is_Pre_Debut,85,797.236,F,0
0.0273973,Teen_Is_Pre_Debut,86,3285.32,M,0
0.0273973,Teen_Is_Pre_Debut,87,4581.67,F,0
0.0273973,Teen_Is_Pre_Debut,88,1994.59,F,0
0.0273973,Teen_Is_Pre_Debut,89,2538.52,M,0
0.0273973,Teen_Is_Pre_Debut,90,2643.32,M,0
0.0273973,Teen_Is_Post_Debut,91,10757.1,M,0
0.0273973,Teen_Is_Pre_Debut,92,2791.18,M,0
0.0273973,Teen_Is_Pre_Debut,93,1796.92,M,0
0.0273973,Teen_Is_Post_Debut,94,22075.1,M,0
0.0273973,Teen_Is_Pre_Debut,95,1048.47,M,0
0.0273973,Teen_Is_Post_Debut,96,28816,F,0
0.0273973,Teen_Is_Post_Debut,97,10874.3,F,0
0.0273973,Teen_Is_Pre_Debut,98,1892.21,F,0
