Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,2,No,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,0,0,139,63,88,0,30,30,28,28,21,51,5,0
1995.5,1,Yes,0,0,10,94,52,72,0,8,8,5,5,5,19,0,5
1995.5,1,Yes,0,0,20,93,58,54,0,0,0,5,5,3,5,0,5
1995.5,1,Yes,0,0,30,72,32,50,0,0,0,4,4,3,2,1,1
1995.5,1,Yes,0,0,40,55,36,29,0,0,0,1,1,1,3,0,0
1995.5,1,Yes,0,0,50,39,18,23,0,0,0,0,0,0,1,0,0
1995.5,1,Yes,0,0,60,16,7,8,0,1,0,1,1,1,1,0,0
1995.5,1,Yes,0,0,70,9,3,8,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,0,80,2,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,50,1,1,0,1,0,0,1,1,1,0,0,0
1995.5,1,Yes,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,Yes,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,0,40,22,31,0,6,6,0,0,0,0,0,0
1995.5,1,No,0,0,10,29,5,15,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,20,21,11,7,0,0,0,0,0,0,0,0,1
1995.5,1,No,0,0,30,19,8,6,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,40,11,4,6,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,50,11,5,8,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,60,8,0,1,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,70,4,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,80,1,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,No,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
