Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
5,66,660,54,NONE,RURAL,LOW
5,65,650,47,NONE,RURAL,LOW
5,64,640,42,NONE,URBAN,LOW
5,63,630,65,NONE,RURAL,HIGH
5,62,620,38,NONE,URBAN,MED
5,61,611,51,NONE,URBAN,HIGH
5,60,600,49,NONE,RURAL,LOW
5,59,590,64,NONE,RURAL,LOW
5,58,580,41,NONE,RURAL,LOW
5,57,571,54,NONE,URBAN,LOW
5,56,560,49,NONE,RURAL,LOW
5,55,550,54,NONE,RURAL,LOW
5,54,540,48,NONE,RURAL,HIGH
5,53,530,56,NONE,URBAN,LOW
5,52,520,36,NONE,URBAN,LOW
5,51,510,65,NONE,RURAL,HIGH
5,50,500,34,NONE,RURAL,LOW
5,49,490,49,NONE,RURAL,MED
5,48,480,34,NONE,RURAL,LOW
5,47,470,24,NONE,URBAN,HIGH
5,46,460,49,NONE,RURAL,LOW
5,45,450,42,NONE,RURAL,MED
5,44,441,44,NONE,RURAL,HIGH
5,43,430,39,NONE,URBAN,LOW
5,42,420,23,NONE,URBAN,LOW
5,41,410,47,NONE,URBAN,MED
5,40,400,35,NONE,RURAL,LOW
5,39,390,23,NONE,URBAN,LOW
5,38,380,37,NONE,URBAN,LOW
5,37,370,35,NONE,RURAL,LOW
5,36,360,25,NONE,RURAL,LOW
5,35,350,30,NONE,URBAN,LOW
5,34,340,27,NONE,RURAL,LOW
5,33,330,21,NONE,URBAN,MED
5,32,320,20,NONE,URBAN,HIGH
5,31,310,23,NONE,URBAN,LOW
5,30,300,29,NONE,RURAL,LOW
5,29,290,39,NONE,RURAL,LOW
5,28,280,24,NONE,URBAN,MED
5,27,270,28,NONE,URBAN,MED
5,26,260,22,NONE,RURAL,MED
5,25,250,14,NONE,RURAL,HIGH
5,24,240,25,NONE,RURAL,LOW
5,23,230,20,NONE,URBAN,HIGH
5,22,220,35,NONE,RURAL,LOW
5,21,210,23,NONE,RURAL,LOW
5,20,200,13,NONE,URBAN,LOW
